old_category;new_category
Promotii;DELETE
"Scara H0e (1:87; 9mm)";DELETE
;EMPTY
Accesorii, piese de schimb, diverse...;Home - Scara H0/Accesorii trenulete/Accesorii, piese de schimb, diverse...
Accesorii electrice diverse;Home - Scara H0/Accesorii trenulete/Electrice si electronice/Accesorii electrice diverse
Digital / Decodoare / Accesorii Electrice;Home - Scara H0/Accesorii trenulete/Electrice si electronice/Alimentare si comanda
Automatizare / Decodoare macaze / tastaturi;Home - Scara H0/Accesorii trenulete/Electrice si electronice/Automatizare - Decodoare macaze - Tastaturi
Decodoare loco. + difuzoare;Home - Scara H0/Accesorii trenulete/Electrice si electronice/Decodoare loco. si difuzoare
Digikeijs;Home - Scara H0/Accesorii trenulete/Electrice si electronice/Digikeijs
Instalatii lumini, ghiduri de lumina, etc;Home - Scara H0/Accesorii trenulete/Electrice si electronice/Instalatii lumini, ghiduri de lumina, etc.
Generatoare fum si lichid fum;Home - Scara H0/Accesorii trenulete/Generatoare fum si lichid fum
Scule si accesorii pentru modelism;Home - Scara H0/Accesorii trenulete/Scule si accesorii pentru modelism
Vitrine si cutii trenulete;Home - Scara H0/Accesorii trenulete/Vitrine si cutii trenulete
Cataloage, DVD-uri, materiale documentare, diverse;Home - Scara H0/Altele/Cataloage, DVD-uri, materiale documentare
Decaluri;Home - Scara H0/Altele/Decaluri
Faller car system;Home - Scara H0/Altele/Faller Car System
Machete auto;Home - Scara H0/Auto
Instalatii diverse, accesorii...;Home - Scara H0/Case - Cladiri - Instalatii/Instalatii si accesorii diverse
Locomotive CFR / RO;Home - Scara H0/CFR - RO
Vagoane CFR / RO;Home - Scara H0/CFR - RO
Automotoare;Home - Scara H0/Locomotive/Automotoare
Locomotive cu abur;Home - Scara H0/Locomotive/Locomotive cu abur
Locomotive diesel;Home - Scara H0/Locomotive/Locomotive diesel
Locomotive electrice;Home - Scara H0/Locomotive/Locomotive electrice
Adezivi, vopsele, prafuri;Home - Scara H0/Machetare/Adezivi, vopsele, prafuri
Cladiri (gari, case, fabrici);Home - Scara H0/Machetare/Case - Cladiri - Instalatii/Case - Cladiri - Constructii
Apa;Home - Scara H0/Machetare/Elemente pentru detaliere/Apa modelism
Copaci, brazi, frunze;Home - Scara H0/Machetare/Elemente pentru detaliere/Copaci, brazi, frunze
Elemente pentru sol;Home - Scara H0/Machetare/Elemente pentru detaliere/Elemente pentru sol
Foliaj;Home - Scara H0/Machetare/Elemente pentru detaliere/Foliaj
Garduri;Home - Scara H0/Machetare/Elemente pentru detaliere/Garduri
Iarba;Home - Scara H0/Machetare/Elemente pentru detaliere/Iarba
"\""Laser-Cut minis\""";Home - Scara H0/Machetare/Elemente pentru detaliere/Mini laser cut
Plante, vegetatie;Home - Scara H0/Machetare/Elemente pentru detaliere/Plante, vegetatie
Scene tematice;Home - Scara H0/Machetare/Elemente pentru detaliere/Scene tematice
Stanci;Home - Scara H0/Machetare/Elemente pentru detaliere/Stanci modelism
Figurine;Home - Scara H0/Machetare/Figurine
Lampi, lumini, semnale;Home - Scara H0/Machetare/Infrastructura/Lampi, lumini
Poduri;Home - Scara H0/Machetare/Infrastructura/Poduri
Portale, ziduri de sprijin, ziduri diverse;Home - Scara H0/Machetare/Infrastructura/Portale, ziduri diverse
Sisteme de catenara;Home - Scara H0/Machetare/Infrastructura/Sisteme de catenara
Teraformare;Home - Scara H0/Machetare/Infrastructura/Teraformare
Terasament, pietris;Home - Scara H0/Machetare/Infrastructura/Terasament, pietris
Materiale de constructie machete;Home - Scara H0/Machetare/Materiale constructie machete
Sosele, pavaje;Home - Scara H0/Machetare/Sosele, pavaje, placi diverse
Nou in magazin;Home - Scara H0/Nou in magazin
Oferte speciale;Home - Scara H0/Oferte speciale
Serie limitata;Home - Scara H0/Serie limitata
Seturi de start;Home - Scara H0/Seturi de start
Sine si accesorii;Home - Scara H0/Sine
Sine Fleischmann (scara N);Home - Scara H0/Sine si accesorii Scara N (1:160)
Sine si accesorii diverse;Home - Scara H0/Sine/Sine si accesorii diverse
Sine si accesorii Fleishmann - profiGleis;Home - Scara H0/Sine/Sine si accesorii Fleishmann - profiGleis
Sine si accesorii Peco;Home - Scara H0/Sine/Sine si accesorii PECO
Sine si accesorii Piko;Home - Scara H0/Sine/Sine si accesorii Piko
Sine si accesorii Roco - geoline;Home - Scara H0/Sine/Sine si accesorii Roco - Geoline
Sine si accesorii RocoLINE;Home - Scara H0/Sine/Sine si accesorii RocoLine
Sine si accesorii RocoLINE - cu terasament cauciuc;Home - Scara H0/Sine/Sine si accesorii RocoLINE - cu terasament
Sine si accesorii (scara H0e);Home - Scara H0/Sine/Sine si accesorii scara H0e (1:87)
Sine si accesorii PECO (scara N);Home - Scara H0/Sine/Sine si accesorii Scara N (1:160)
Sine si accesorii (scara TT);Home - Scara H0/Sine/Sine si accesorii Scara TT (1:120)
Utilaje;Home - Scara H0/Vagoane/Utilaje feroviare
Vagoane de calatori;Home - Scara H0/Vagoane/Vagoane calatori
Vagoane de marfa;Home - Scara H0/Vagoane/Vagoane marfa
Material rulant si machete militare;Home - Scara H0/Vagoane/Vagoane militare
Constructii si instalatii;TEMP
Constructii si instalatii (scara H0e);TEMP
Material rulant (Scara H0e);TEMP
Material rulant (scara N);TEMP
Material rulant (scara TT);TEMP
Produse pentru diorame, teraformare, vegetatie, portale, stanci, accesorii;TEMP
"Scara N (1:160 ; 9mm)";TEMP
"Scara TT (1:120 ; 12mm)";TEMP
